,color
370,שנהב לבן
371,כסף
372,לבן
373,אדום
374,שחור
375,שנהב לבן
376,לבן
377,שנהב לבן
378,שנהב לבן
379,שנהב לבן
380,ירוק
381,כסף מטלי
382,שחור
383,שנהב לבן
384,שנהב לבן
385,שנהב לבן
386,שנהב לבן
387,אפור מטל
388,שנהב לבן
389,אפור כהה
390,שנהב לבן
391,כסף מטלי
392,שחור
393,שחור
394,לבן
395,שנהב לבן
396,שנהב לבן
397,כסף
398,אדום מטאלי
399,שחור מטלי
400,שחור
401,אדום מטל
402,שחור
403,שנהב לבן
404,שנהב לבן
405,שנהב לבן
406,שנהב לבן
407,שנהב לבן
408,כחול מטל
409,שנהב לבן
410,שנהב לבן
411,לבן
412,שנהב לבן
413,שנהב לבן
414,אפור
415,ירקרק בהיר
416,כסף
417,כסף מטלי
418,אפור מטאלי
419,שנהב לבן
420,לבן
421,שנהב לבן
422,שנהב לבן
423,זהב מטאלי
424,אדום מטל
425,אפור פלדה
426,אפור
427,קפה מטאלי
428,לבן
429,שחור
430,שנהב לבן
431,שן פיל
432,אפור
433,כסף מטלי
434,שנהב לבן
435,שנהב לבן
436,לבן
437,אפור
438,כסף מטלי
439,שנהב לבן
440,שנהב לבן
441,שחור מטלי
442,אפור
443,שחור מטלי
444,אפור מטל
445,שנהב לבן
446,אפור מטל
447,כסוף כהה
448,אפור
449,תכלת מטאלי
450,אדום
451,אפור מטל
452,אפור מטל
453,שנהב לבן
454,שנהב לבן
455,קפה מטאלי
456,אפור מטאלי
457,אפור
458,כסף
459,לבן
460,כסף תכלת מטלי
461,שנהב לבן
462,שנהב לבן
463,שנהב לבן
464,כסוף כהה מטלי
465,כסף
466,חום
467,אדום מטל
468,כחול
469,אפור
470,כסף
471,שחור
472,לבן
473,כחול פחם מטלי
474,שנהב לבן
475,לבן
476,שנהב לבן
477,שחור
478,שנהב לבן
479,לבן
480,שנהב לבן
481,שחור מטלי
482,כסף מטלי
483,שחור
484,שנהב לבן
485,שנהב לבן
486,שחור
487,אפור מטל
488,שחור
489,כסף מטלי
490,שנהב לבן
491,כסוף כהה מטלי
492,כסף
493,שנהב לבן
494,אפור
495,שנהב לבן
496,שנהב לבן
497,שנהב לבן
498,שחור
499,שחור מטלי
500,שחור מטלי
501,כסוף
502,שנהב לבן
503,שחור
504,אדום מטל
505,שחור
506,שנהב לבן
507,אפור כהה
508,אפור מטל
509,כסף
510,כחול
511,שחור מטלי
512,שחור
513,אפור כהה מטלי
514,שנהב לבן
515,שנהב לבן
516,אדום מטל
517,כסוף
518,שחור
519,לבן
520,שנהב לבן
521,שחור
522,שנהב לבן
523,כסף מטלי
524,שחור
525,שנהב לבן
526,לבן
527,אפור כהה
528,שנהב לבן
529,אפור פלדה
530,שנהב לבן
531,שנהב לבן
532,שחור
533,אפור
534,כסף מטלי
535,כסף
536,כסוף כהה מטלי
537,כסף מטלי
538,כסף
539,כסף מטלי
540,אפור
541,זהב
542,כחול
543,שנהב לבן
544,שנהב לבן
545,שנהב לבן
546,סגול כהה
547,לבן
548,שנהב לבן
549,שנהב לבן
550,שחור
551,לבן
552,שחור מטלי
553,שחור
554,שנהב לבן
555,שנהב לבן
556,אפור
557,שחור
558,אפור
559,לבן
560,שנהב לבן
561,שנהב לבן
562,שנהב לבן
563,שחור
564,אפור
565,כסוף
566,שחור מטלי
567,כסף מטלי
568,שנהב לבן
569,אפור מטל
570,שנהב לבן
571,קפה מטאלי
572,כתום
573,שחור
574,אפור
575,אפור כהה
576,כסף
577,שנהב לבן
578,שחור
579,שנהב לבן
580,שחור פנינה
581,כסוף כהה
582,כתום
583,לבן
584,שנהב לבן
585,שנהב לבן
586,אפור
587,בז
588,שנהב לבן
589,אפור
590,שחור
591,ברונזה
592,לבן
593,ירקרק מטלי
594,שנהב לבן
595,שחור
596,שחור
597,שחור
598,שנהב לבן
599,שנהב לבן
600,אפור מטל
601,אפור
602,כסף מטלי
603,צהוב מטאלי
604,שחור מטלי
605,שנהב לבן
606,אפור מטל
607,שחור
608,כסף מטלי
609,כסף
610,כסף מטלי
611,לבן
612,שנהב לבן
613,שנהב לבן
614,אפור
615,שנהב לבן
616,שחור מטלי
617,אפור בהיר
618,שחור
619,כתום
620,אפור מטאלי
621,כסף מטלי
622,שנהב לבן
623,שחור
624,שנהב לבן
625,שחור
626,אפור בהיר מטלי
627,שנהב לבן
628,שחור מטלי
629,שנהב לבן
630,כסף
631,לבן
632,אפור
633,שחור
634,כסף
635,לבן
636,אפור פלדה
637,כחול מטל
638,שנהב לבן
639,שנהב לבן
640,כסוף כהה מטלי
641,לבן
642,כחול
643,כסף
644,אפור מטל
645,שנהב לבן
646,שנהב לבן
647,תכלת מטאלי
648,שנהב לבן
649,אפור
650,אפור מטל
651,שנהב לבן
652,שנהב לבן
653,שנהב לבן
654,שנהב לבן
655,שנהב לבן
656,שנהב לבן
657,אפור כהה מטלי
658,אפור
659,שנהב לבן
660,שנהב לבן
661,אפור מטאלי
662,שנהב לבן
663,שנהב לבן
664,אפור כהה
665,כסף מטלי
666,שנהב לבן
667,שנהב לבן
668,כסף
669,שנהב לבן
670,שנהב לבן
671,שנהב לבן
672,בז
673,אפור מטל
674,לבן
675,כסף מטלי
676,כחול
677,שנהב לבן
678,כסף
679,שנהב לבן
680,אפור כהה
681,שנהב לבן
682,שנהב לבן
683,שנהב לבן
684,שחור
685,אפור מטאלי
686,שנהב לבן
687,כסף
688,שחור
689,אדום
690,אפור כהה
691,כסף מטלי
692,כחול
693,שנהב לבן
694,שחור
695,שנהב לבן
696,אפור כהה מטלי
697,שנהב לבן
698,כסף כחלחל מטלי
699,שנהב לבן
700,אפור
701,שחור
702,אפור כהה מטלי
703,אדום מטל
704,כסוף בהיר
705,אפור
706,אפור
707,שנהב לבן
708,שנהב לבן
709,כחול מטל
710,שנהב לבן
711,אפור
712,שנהב לבן
713,אפור בהיר מטלי
714,אפור
715,שנהב לבן
716,שנהב לבן
717,שחור מטלי
718,שנהב לבן
719,שנהב לבן
720,שנהב לבן
721,שנהב לבן
722,שחור מטלי
723,אפור
724,אפור
725,כסף מטלי
726,כחול מטל
727,לבן
728,שחור
729,אפור מטל
730,אפור כהה מטלי
731,שנהב לבן
732,שנהב לבן
733,לבן
734,כסף
735,אפור כהה
736,שחור פנינה
737,שנהב לבן
738,שחור מטלי
739,שנהב לבן
740,כסף
741,אדום
742,שחור
743,שנהב לבן
744,כחול מטל
745,כחול מטל
746,כסף
747,לבן
748,שחור
749,שנהב לבן
750,אפור
751,שנהב לבן
752,אפור
753,שנהב לבן
754,שנהב לבן
755,לבן
756,כסף
757,כסף מטלי
758,אפור בהיר מטלי
759,שחור
760,אפור
761,כסף מטלי
762,שחור
763,שחור
764,קפה מטאלי
765,שנהב לבן
766,שחור
767,שנהב לבן
768,אפור
769,שנהב לבן
770,שחור
771,כסוף כהה
772,אפור
773,שנהב לבן
774,שנהב לבן
775,שנהב לבן
776,שנהב לבן
777,שנהב לבן
778,ברונזה
779,שנהב לבן
780,אדום
781,שנהב לבן
782,כסף מטאלי
783,אפור כהה מטלי
784,שנהב לבן
785,שנהב לבן
786,שחור
787,לבן
788,שנהב לבן
789,שחור מטלי
790,שחור מטלי
791,כסף
792,כסוף כהה
793,שנהב לבן
794,שנהב לבן
795,אפור
796,שן פיל
797,לבן
798,שנהב לבן
799,שנהב לבן
800,שנהב לבן
801,שנהב לבן
802,אפור מטל
803,אפור מטל
804,שחור מטלי
805,אפור
806,כסף
807,כסף
808,קרם
809,אפור
810,כסף מטלי
811,אפור
812,כסף מטלי
813,שנהב לבן
814,שנהב לבן
815,כסף מטלי
816,שנהב לבן
817,שנהב לבן
818,שחור
819,אפור מטל
820,שנהב לבן
821,אפור כהה
822,שנהב לבן
823,שנהב לבן
824,לבן
825,כסף מטלי
826,כסף
827,שנהב לבן
828,שחור מטלי
829,כסוף
830,כסף מטלי
831,כסוף כהה
832,לבן
833,אפור
834,צהוב מטאלי
835,שנהב לבן
836,אדום
837,כסף מטלי
838,כסף
839,שחור
840,אפור
841,שחור מטלי
842,שנהב לבן
843,שחור
844,שנהב לבן
845,שנהב לבן
846,שנהב לבן
847,שנהב לבן
848,אפור מטל
849,שנהב לבן
850,לבן
851,שחור
852,שנהב לבן
853,שנהב לבן
854,שנהב לבן
855,כחול כהה
856,שנהב לבן
857,לבן פנינה
858,כסף
859,כסף
860,שנהב לבן
861,שנהב לבן
862,שחור
863,לבן
864,שחור
865,קרם
866,אפור
867,כסף
868,שנהב לבן
869,שנהב לבן
870,כחול מטל
871,שנהב לבן
872,שנהב לבן
873,כסוף מטאלי
874,שנהב לבן
875,שנהב לבן
876,לבן
877,שחור מטלי
878,שחור
879,שחור
880,שחור מטלי
881,שנהב לבן
882,שנהב לבן
883,שנהב לבן
884,כסף
885,אפור כהה
886,כחול מטל
887,שחור
888,שחור
889,כסף מטלי
890,כסף
891,בורדו מטל
892,שחור
893,אפור מטל
894,שנהב לבן
895,בז
896,שחור
897,שנהב לבן
898,לבן
899,שנהב לבן
900,שנהב לבן
901,כסף
902,שנהב לבן
903,שנהב לבן
904,שנהב לבן
905,שחור
906,שנהב לבן
907,שחור
908,אפור כהה
909,אפור מטל
910,שנהב לבן
911,שחור מטלי
912,שנהב לבן
913,אפור
914,שנהב לבן
915,כחול מטל
916,שנהב לבן
917,אפור מטל
918,שנהב לבן
919,אפור
920,שנהב לבן
921,שחור מטלי
922,אפור
923,שנהב לבן
924,שחור
925,שנהב לבן
926,כחול קריסטל
927,אפור כהה
928,שנהב לבן
929,שנהב לבן
930,כסף
931,שחור מטלי
932,שנהב לבן
933,שחור
934,שנהב לבן
935,כסוף כהה
936,שחור
937,אדום
938,שחור מטלי
939,שנהב לבן
940,לבן
941,שנהב לבן
942,אפור מטל
943,שנהב לבן
944,שנהב לבן
945,לבן
946,שנהב לבן
947,אפור
948,שנהב לבן
949,שנהב לבן
950,שנהב לבן
951,אפור מטל
952,שחור מטלי
953,שנהב לבן
954,אפור פלדה
955,קפה מטאלי
956,לבן
957,כסף
958,שנהב לבן
959,שחור
960,כסף
961,תכלת מטאלי
962,תכלת
963,אפור מטל
964,לבן
965,אפור
966,שנהב לבן
967,שנהב לבן
968,אפור כהה
969,אדום
970,שנהב לבן
971,שנהב לבן
972,שחור
973,שנהב לבן
974,שחור
975,לבן
976,שנהב לבן
977,לבן
978,לבן
979,שנהב לבן
980,אפור
981,שנהב לבן
982,שנהב לבן
983,שנהב לבן
984,שנהב לבן
985,שנהב לבן
986,פלטינה
987,שנהב לבן
988,שנהב לבן
989,כסף
990,לבן
991,שחור מטלי
992,שנהב לבן
993,שנהב לבן
994,כסף מטלי
995,שנהב לבן
996,ברונזה
997,כתום
998,שחור
999,שנהב לבן
1000,שחור מטלי
1001,שנהב לבן
1002,שנהב לבן
1003,אפור כהה
1004,שנהב לבן
1005,שנהב לבן
1006,לבן
1007,אפור
1008,שחור
1009,שחור מטלי
1010,שנהב לבן
1011,כסף
1012,שחור
1013,שחור
1014,שנהב לבן
1015,כסף
1016,שחור מטלי
1017,שנהב לבן
1018,שחור
1019,אפור מטל
1020,קפה מטאלי
1021,כסף
1022,אפור
1023,שנהב לבן
1024,שנהב לבן
1025,שנהב לבן
1026,כסף
1027,שנהב לבן
1028,אפור
1029,כסוף
1030,אפור בהיר מטלי
1031,לבן
1032,שחור
1033,כסוף כהה
1034,שנהב לבן
1035,שחור
1036,שנהב לבן
1037,בורדו מטל
1038,שנהב לבן
1039,לבן
1040,כחול בהיר
1041,אפור
1042,אפור
1043,לבן
1044,שחור
1045,שנהב לבן
1046,אפור
1047,שנהב לבן
1048,אפור מטל
1049,שחור מטלי
1050,כסף מטלי
1051,כתום
1052,אפור
1053,כסף מטלי
1054,תכלת מטאלי
1055,שנהב לבן
1056,אדום
1057,שנהב לבן
1058,אפור
1059,שנהב לבן
1060,שנהב לבן
1061,שחור
1062,שנהב לבן
1063,שחור
1064,אפור מטל
1065,שנהב לבן
1066,שנהב לבן
1067,שנהב לבן
1068,שנהב לבן
1069,אפור מטל
1070,שנהב לבן
1071,שנהב לבן
1072,שנהב לבן
1073,אפור
1074,שנהב לבן
1075,צהוב מטאלי
1076,שנהב לבן
1077,אפור
1078,כסף
1079,אפור מטל
1080,שנהב לבן
1081,כסף
1082,כסוף
1083,כסוף
1084,כסף
1085,אפור כהה
1086,כחול
1087,שנהב לבן
1088,שנהב לבן
1089,שחור
1090,אפור כהה מטלי
1091,שנהב לבן
1092,שחור מטלי
1093,שחור מטלי
1094,שחור מטלי
1095,שנהב לבן
1096,לבן
1097,שחור
1098,שנהב לבן
1099,שנהב לבן
1100,אפור כהה
1101,בז
1102,אדום
1103,שחור
1104,שחור מטלי
1105,שנהב לבן
1106,לבן
1107,לבן
1108,שחור מטלי
1109,שנהב לבן
1110,שנהב לבן
1111,שנהב לבן
1112,אפור פלדה
1113,שנהב לבן
1114,שנהב לבן
1115,שנהב לבן
1116,שנהב לבן
1117,כסף מטלי
1118,שחור מטלי
1119,כסף מטלי
1120,שנהב לבן
1121,שחור
1122,שחור
1123,שחור
1124,פלטינה
1125,שחור
1126,שחור מטלי
1127,שחור
1128,לבן
1129,שנהב לבן
1130,שנהב לבן
1131,שחור מטלי
1132,שנהב לבן
1133,שנהב לבן
1134,שחור
1135,שנהב לבן
1136,שנהב לבן
1137,כסוף כהה
1138,כסף מטלי
1139,שחור
1140,שנהב לבן
1141,שחור
1142,שחור מטלי
1143,אפור
1144,בז
1145,אפור כהה
1146,שחור מטלי
1147,אפור
1148,כסוף כהה
1149,שחור מטלי
1150,שנהב לבן
1151,שנהב לבן
1152,שנהב לבן
1153,שנהב לבן
1154,בז מטאלי
1155,שחור
1156,שחור מטלי
1157,שנהב לבן
1158,כסף מטלי
1159,שנהב לבן
1160,שנהב לבן
1161,שחור מטלי
1162,שנהב לבן
1163,כסף מטלי
1164,לבן
1165,שחור
1166,שנהב לבן
1167,כסוף כהה
1168,אפור כהה
1169,שחור מטלי
1170,לבן
1171,כסף
1172,שנהב לבן
1173,שחור
1174,שנהב לבן
1175,לבן
1176,אפור
1177,אדום
1178,תכלת מטאלי
1179,כחול
1180,שנהב לבן
1181,אפור בהיר
1182,שנהב לבן
