,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,version_num,color_num,engine_num,location_num
1103,136900,ראשון לציון,קיה נירו NIRO EX,2020,1580 ליטר בנזין,58000,1,אוטומטי,שחור,פרטית,4,2130,714,65,44,38
1104,630000,שפרעם,ב מ וו X5 M-SPORT SE M-SPORT SE,2023,2993 ליטר דיזל,20,1,אוטומטי,שחור מטלי,פרטית,10,4731,81,67,116,46
1106,98900,כרמיאל,סיאט אטקה ATECA STYLE,2019,1498 ליטר בנזין,106049,1,אוטומטי,לבן,ליסינג,9,1604,538,53,39,20
1108,58900,תל אביב יפו,שברולט ספארק SPARK LT PLUS,2018,1399 ליטר בנזין,43000,2,אוטומטי,שחור מטלי,פרטית,2,1102,792,67,28,48
1109,173000,חיפה,יונדאי טוסון TUCSON PANORAMIC,2021,1598 ליטר בנזין,17000,1,אוטומטי,שנהב לבן,פרטית,5,2417,296,70,53,12
1113,85000,נתניה,הונדה סיוויק CIVIC ELEGANCE,2018,1597 ליטר בנזין,98000,1,אוטומטי,שנהב לבן,פרטית,5,1604,163,70,52,28
1114,89000,חיפה,דאציה דאסטר DUSTER LAUREATE,2020,1461 ליטר דיזל,102000,1,ידני,שנהב לבן,ליסינג,4,1529,145,70,29,12
1115,84000,נתיבות,מזדה 3 MAZDA 3 PREMIUM,2017,1998 ליטר בנזין,84000,3,אוטומטי,שנהב לבן,פרטית,5,1604,342,70,82,27
1116,260000,עראבה,ב מ וו סדרה 3 318I BUSINESS,2022,1998 ליטר בנזין,9000,1,אוטומטי,שנהב לבן,פרטית,3,3366,96,70,82,33
1117,72000,עפולה,טויוטה וורסו VERSO GLI,2017,1798 ליטר בנזין,217000,2,אוטומטי,כסף מטלי,ליסינג,3,1835,212,49,60,32
1118,87000,נתניה,פולקסווגן פאסאט PASSAT COMFORTLINE,2017,1798 ליטר בנזין,103000,1,אוטומטי,שחור מטלי,ליסינג,6,2019,645,67,60,28
1119,24900,ראשון לציון,טויוטה ספייס ורסו SPACE VERSO GLI,2011,1329 ליטר בנזין,230000,3,אוטומטי,כסף מטלי,פרטית,6,1074,228,49,12,38
1121,34000,פתח תקווה,אופל אסטרה GTC SPORT,2014,1364 ליטר בנזין,260000,1,אוטומטי,שחור,פרטית,4,1584,50,65,19,35
1122,99000,נתניה,סקודה קארוק KAROQ AMBITION,2018,999 ליטר בנזין,80000,2,אוטומטי,שחור,פרטית,4,1604,614,65,151,28
1125,84900,ראשון לציון,יונדאי איוניק HYBRID PREMIUM,2018,1580 ליטר בנזין,137881,2,אוטומטי,שחור,ליסינג,5,1604,283,65,44,38
1126,62000,קרית שמונה,שברולט ספארק SPARK LTZ,2016,1399 ליטר בנזין,51000,1,אוטומטי,שחור מטלי,פרטית,2,985,793,67,28,37
1127,82000,בת ים,קיה ספורטז' SPORTAGE URBAN,2016,1591 ליטר בנזין,78000,2,אוטומטי,שחור,פרטית,8,1424,735,65,49,7
1130,130500,תל אביב יפו,מזדה CX-5 CX-5 COMFORT,2019,1998 ליטר בנזין,55000,1,אוטומטי,שנהב לבן,פרטית,7,2019,360,70,82,48
1131,50000,עפולה,שברולט טראקס TRAX LT,2015,1364 ליטר בנזין,150000,2,אוטומטי,שחור מטלי,פרטית,11,1584,779,67,19,32
1132,130000,לוד,קיה ספורטז' SPORTAGE TURBO TOP,2020,1591 ליטר בנזין,35000,2,אוטומטי,שנהב לבן,פרטית,12,1835,734,70,49,21
1135,19999,פרדס חנה כרכור,שברולט קרוז CRUZE LT TURBO,2014,1362 ליטר בנזין,99000,3,אוטומטי,שנהב לבן,פרטית,5,1424,802,70,18,34
1136,119900,ראשון לציון,טויוטה יאריס YARIS SKY,2022,1490 ליטר בנזין,15000,1,אוטומטי,שנהב לבן,פרטית,2,1529,218,70,33,38
1137,30000,תל אביב יפו,מזדה 3 MAZDA 3 ACTIVE,2012,1598 ליטר בנזין,220000,1,אוטומטי,כסוף כהה,ליסינג,5,1262,339,42,53,48
1139,32000,פתח תקווה,יונדאי I25 I25 INSPIRE,2013,1396 ליטר בנזין,210000,2,אוטומטי,שחור,ליסינג,9,1205,268,65,26,35
1140,108900,רמת השרון,מזדה CX-5 CX-5 LUXURY,2017,1998 ליטר בנזין,126599,2,אוטומטי,שנהב לבן,פרטית,4,2019,362,70,82,43
1144,93900,פתח תקווה,קיה ספורטז' SPORTAGE URBAN,2016,1999 ליטר בנזין,77341,1,אוטומטי,בז,פרטית,1,1584,735,18,84,35
1147,14000,ירושלים,שברולט קרוז 1.6 LS,2011,1598 ליטר בנזין,120000,1,אוטומטי,אפור,פרטית,8,1262,801,6,53,15
1148,68000,חיפה,יונדאי IX35 IX35 INSPIRE,2013,1998 ליטר בנזין,120000,1,אוטומטי,כסוף כהה,פרטית,2,1693,277,42,82,12
1151,715000,עפולה,מרצדס GLE 400D COUPE AMG FLT,2022,2925 ליטר דיזל,2900,1,אוטומטי,שנהב לבן,פרטית,6,4731,457,70,109,32
1152,85000,חיפה,טויוטה יאריס HYBRID STYLE,2020,1497 ליטר בנזין,68000,3,אוטומטי,שנהב לבן,ליסינג,1,1529,216,70,38,12
1153,129000,נתניה,פורד אקספלורר EXPLORER XLT,2015,3497 ליטר בנזין,129000,1,אוטומטי,שנהב לבן,פרטית,5,2397,658,70,131,28
1154,91900,פתח תקווה,יונדאי טוסון TUCSON PREMIUM,2017,1999 ליטר בנזין,117313,2,אוטומטי,בז מטאלי,פרטית,4,1835,297,19,84,35
1155,164000,חיפה,טויוטה אאוטלנדר OUTLANDER PHEV LUXURY,2019,2360 ליטר חשמל/בנזין,52000,1,אוטומטי,שחור,פרטית,2,2019,204,65,94,12
1156,210000,נוף הגליל,ב מ וו סדרה 3 318I BUSINESS,2021,1998 ליטר בנזין,25000,1,אוטומטי,שחור מטלי,אחר,5,3366,96,67,82,24
1157,87000,נתניה,טויוטה קורולה COROLLA SUN,2018,1598 ליטר בנזין,110000,1,אוטומטי,שנהב לבן,פרטית,4,1604,236,70,53,28
1158,54000,טמרה,סקודה אוקטביה OCTAVIA ELEGANCE,2015,1395 ליטר בנזין,243000,2,אוטומטי,כסף מטלי,פרטית,3,1584,586,49,24,14
1159,144000,ראשון לציון,סובארו פורסטר FORESTER X,2019,2498 ליטר בנזין,50000,1,אוטומטי,שנהב לבן,פרטית,1,2019,515,70,104,38
1160,172900,פתח תקווה,לנד רובר דיסקאברי SPORT PET HSE,2017,1999 ליטר בנזין,48430,2,אוטומטי,שנהב לבן,פרטית,4,3357,318,70,84,35
1162,89000,בת ים,רנו מגאן MEGANE INTENSE,2019,1461 ליטר דיזל,115000,2,אוטומטי,שנהב לבן,ליסינג,2,1604,750,70,29,7
1163,92900,חדרה,סקודה אוקטביה OCTAVIA AMBITION,2019,999 ליטר בנזין,111386,1,אוטומטי,כסף מטלי,ליסינג,9,1604,584,49,151,10
1164,67000,מאיפה שנוח לך בארץ,שברולט ספארק SPARK LT,2018,1399 ליטר בנזין,99321,1,אוטומטי,לבן,ליסינג,5,1102,791,53,28,22
1166,102000,נתניה,קיה נירו NIRO LX,2019,1580 ליטר בנזין,138000,1,אוטומטי,שנהב לבן,ליסינג,2,1604,715,70,44,28
1168,43499,חדרה,מזדה 2 MAZDA 2 DEMIO COMF,2016,1496 ליטר בנזין,150000,3,אוטומטי,אפור כהה,השכרה,4,1205,334,9,36,10
1170,61000,עפולה,ניסאן קשקאי QASHQAI ACENTA,2015,1197 ליטר בנזין,160000,2,אוטומטי,לבן,אחר,5,1584,483,53,2,32
1172,81000,נתניה,הונדה ג'אז JAZZ COMFORT,2020,1318 ליטר בנזין,49000,1,אוטומטי,שנהב לבן,ליסינג,11,1353,157,70,10,28
1173,138900,איכסאל,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2019,1998 ליטר בנזין,140000,1,אוטומטי,שחור,ליסינג,3,2019,380,65,82,3
1174,86000,חיפה,סוזוקי ויטארה VITARA GLXV,2017,1586 ליטר בנזין,90000,1,אוטומטי,שנהב לבן,פרטית,8,1604,530,70,47,12
1175,124160,נתניה,פיג'ו 3008 3008 ACTIVE,2020,1499 ליטר דיזל,91130,1,אוטומטי,לבן,השכרה,4,2130,691,53,41,28
1177,45000,כפר סבא,סיטרואן C4 קקטוס C4 CACTUS FUN,2017,1199 ליטר בנזין,82000,3,ידני,אדום,פרטית,1,1102,568,0,4,19
1178,31000,פתח תקווה,יונדאי I10 I10 INSTYLE,2014,998 ליטר בנזין,144000,2,ידני,תכלת מטאלי,פרטית,5,985,255,72,150,35
1179,52900,חדרה,מזדה 2 MAZDA 2 DYNAMIC,2016,1496 ליטר בנזין,144512,2,אוטומטי,כחול,פרטית,5,1205,337,31,36,10
1180,400000,עפולה,מרצדס S קלאס S 500 E AMG,2017,2996 ליטר חשמל/בנזין,70000,1,אוטומטי,שנהב לבן,פרטית,4,3357,461,70,119,32
1181,61900,חיפה,אאודי Q5 Q5 EXECUTIVE,2012,1985 ליטר בנזין,154000,3,אוטומטי,אפור בהיר,פרטית,1,1726,37,7,69,12
1182,21900,ראשון לציון,פיג'ו 301 301 ACTIVE,2016,1199 ליטר בנזין,156900,2,אוטומטי,שנהב לבן,השכרה,4,985,697,70,4,38
1185,122900,פתח תקווה,MG ZS EV NET-UP S,2020,חשמלי,52132,1,אוטומטי,שחור,פרטית,4,1811,3,65,152,35
1189,47900,ראשון לציון,קיה ריו RIO LX,2016,1396 ליטר בנזין,120000,2,אוטומטי,שנהב לבן,פרטית,11,1205,745,70,26,38
1190,107900,ראשון לציון,קיה ספורטז' SPORTAGE PREMIUM GT,2018,1591 ליטר בנזין,113185,1,אוטומטי,לבן,פרטית,2,2019,733,53,49,38
1192,79900,ראשון לציון,איסוזו D-Max PICK-UP LS,2013,2499 ליטר דיזל,225000,4,אוטומטי,כסף מטלי,ליסינג,5,1962,66,49,105,38
1194,190000,חיפה,סקודה קודיאק KODIAQ EXCLUSIVE,2019,1968 ליטר דיזל,50000,2,אוטומטי,שנהב לבן,פרטית,1,2563,620,70,65,12
1195,92900,באר שבע,סקודה אוקטביה OCTAVIA AMBITION,2019,1498 ליטר בנזין,95313,1,אוטומטי,לבן,ליסינג,2,1604,584,53,39,6
1196,39000,נתניה,יונדאי I10 I10 PREMIUM,2015,998 ליטר בנזין,140000,2,אוטומטי,כחול,פרטית,7,985,257,31,150,28
1199,136900,חדרה,מיצובישי אאוטלנדר OUTLANDER INTENSE,2020,1998 ליטר בנזין,78295,1,אוטומטי,כסף מטלי,ליסינג,3,2417,381,49,82,10
1201,82900,חדרה,סיטרואן ברלינגו BERLINGO LIVE,2019,1499 ליטר דיזל,105895,1,ידני,לבן,ליסינג,9,1604,573,53,41,10
1205,100000,כרמיאל,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,135000,1,אוטומטי,שנהב לבן,ליסינג,3,1604,283,70,44,20
1206,36500,רחובות,יונדאי I25 I25 INSPIRE,2012,1396 ליטר בנזין,169000,1,אוטומטי,שנהב לבן,ליסינג,8,1074,268,70,26,39
1207,109900,ראשון לציון,מיצובישי אאוטלנדר OUTLANDER SUPREME,2017,1998 ליטר חשמל/בנזין,128000,2,אוטומטי,אפור,פרטית,4,2019,386,6,83,38
1208,159000,אשדוד,מיצובישי אקליפס קרוס ECLIPSE CROSS EXECUTIVE,2022,1499 ליטר בנזין,1178,1,אוטומטי,אפור,פרטית,8,2130,390,6,40,4
1210,30000,תל אביב יפו,מזדה 5 MAZDA 5 S,2008,1999 ליטר בנזין,238000,1,אוטומטי,פלטינה,פרטית,6,1369,349,58,84,48
1211,120900,כפר חסידים א',יונדאי טוסון TUCSON TURBO LUXURY,2018,1591 ליטר בנזין,99000,1,אוטומטי,כסף,פרטית,6,2019,303,46,49,17
1212,315000,אשדוד,יונדאי סנטה פה HYBRID LUXURY,2022,1598 ליטר בנזין,4200,1,אוטומטי,שחור מטלי,פרטית,1,4731,308,67,53,4
1213,193000,מאיפה שנוח לך בארץ,טסלה MODEL 3 MODEL 3 RWD,2022,חשמלי,6593,1,אוטומטי,לבן,ליסינג,12,2417,250,53,152,22
1214,43900,ראשון לציון,מיצובישי אטראז ATTRAGE INSTYLE,2015,1193 ליטר בנזין,145000,2,אוטומטי,כסוף בהיר,ליסינג,9,985,388,41,1,38
1215,94900,חדרה,סקודה אוקטביה OCTAVIA AMBITION,2019,1498 ליטר בנזין,89637,1,אוטומטי,אפור מטאלי,ליסינג,2,1604,584,12,39,10
1217,98000,עיספיא,סקודה סופרב SUPERB AMBITION,2017,1395 ליטר בנזין,199000,2,אוטומטי,שנהב לבן,ליסינג,3,2019,599,70,24,31
1219,379000,בת ים,מרצדס GLC 300E 4MATIC PREMIUM,2021,1991 ליטר חשמל/בנזין,13000,1,אוטומטי,שנהב לבן,פרטית,3,4731,450,70,73,7
1220,96000,פתח תקווה,ניסאן קשקאי QASHQAI ACENTA,2018,1197 ליטר בנזין,29000,1,אוטומטי,שנהב לבן,פרטית,11,1604,483,70,2,35
1222,182700,עפולה,ב מ וו סדרה 1 118I STYLE PLAY,2022,1499 ליטר בנזין,29782,1,אוטומטי,שחור,פרטית,11,2417,92,65,40,32
1223,49000,חולון,סובארו XV XV 1.6 KYOTO,2017,1600 ליטר בנזין,260000,1,אוטומטי,שנהב לבן,פרטית,8,1604,497,70,56,11
1224,64000,ירכא,יונדאי I25 I25 INSPIRE,2017,1591 ליטר בנזין,150000,1,אוטומטי,כסף,אחר,11,1205,268,46,49,16
1225,110900,חדרה,טויוטה קורולה HSD SDN SUN,2020,1798 ליטר בנזין,111404,1,אוטומטי,תכלת מטאלי,ליסינג,3,1811,241,72,60,10
1226,95000,ריינה,פולקסווגן גולף GOLF COMFORTLINE,2017,1395 ליטר בנזין,50000,1,אוטומטי,אפור כהה מטלי,פרטית,8,1604,631,10,24,40
1228,82000,מאיפה שנוח לך בארץ,שברולט ספארק SPARK LT PLUS,2020,1399 ליטר בנזין,60083,1,אוטומטי,לבן,ליסינג,12,1102,792,53,28,22
1229,93000,ירושלים,סיאט ארונה ARONA STYLE,2021,999 ליטר בנזין,90000,1,אוטומטי,שנהב לבן,פרטית,4,1529,550,70,151,15
1230,86900,פתח תקווה,סוזוקי ויטארה VITARA GLXV 2T,2017,1586 ליטר בנזין,88640,1,אוטומטי,שחור,פרטית,1,1604,531,65,47,35
1231,42000,חיפה,קיה סיד CEED LX,2017,1591 ליטר בנזין,140000,2,אוטומטי,שנהב לבן,השכרה,1,1604,728,70,49,12
1232,89000,פתח תקווה,טויוטה יאריס YARIS BLACKTOP,2018,1496 ליטר בנזין,41000,2,אוטומטי,שנהב לבן,פרטית,4,1353,217,70,36,35
1234,65000,ירכא,מזדה CX-5 CX-5 LUXURY,2012,1998 ליטר בנזין,200000,3,אוטומטי,שחור מטלי,פרטית,4,1427,362,67,82,16
1235,235000,באר שבע,ב מ וו סדרה 3 318I BUSINESS,2021,1998 ליטר בנזין,40000,1,אוטומטי,אפור בהיר מטלי,פרטית,1,3366,96,8,82,6
1236,60000,ירכא,טויוטה קורולה COROLLA SUN,2014,1598 ליטר בנזין,170000,2,אוטומטי,לבן,ליסינג,4,1424,236,53,53,16
1238,54000,נתניה,שברולט ספארק SPARK LT,2017,1399 ליטר בנזין,113000,1,אוטומטי,שנהב לבן,השכרה,5,1102,791,70,28,28
1239,90900,חדרה,סקודה אוקטביה OCTAVIA AMBITION,2019,999 ליטר בנזין,101013,1,אוטומטי,שחור,ליסינג,11,1604,584,65,151,10
1241,131900,חיפה,MG ZS EV NET-UP S,2021,חשמלי,39382,1,אוטומטי,תכלת,פרטית,4,2130,3,71,152,12
1243,209000,חיפה,לקסוס UX 300E LUXURY B,2021,חשמלי,11000,1,אוטומטי,שנהב לבן,פרטית,4,3366,332,70,152,12
1247,101900,רמת השרון,טויוטה קורולה SDN SUN,2019,1598 ליטר בנזין,67726,1,אוטומטי,כסף מטלי,ליסינג,2,1604,244,49,53,43
1248,110000,נתניה,פיג'ו 3008 3008 ACTIVE,2019,1199 ליטר בנזין,75000,1,אוטומטי,לבן,פרטית,6,1835,691,53,4,28
1249,117000,פתח תקווה,מזדה 3 MAZDA 3 COMFORT,2021,1998 ליטר בנזין,19927,1,אוטומטי,שחור,אחר,5,1811,341,65,82,35
1250,90000,חיפה,סיאט ארונה ARONA FR,2019,999 ליטר בנזין,90000,1,אוטומטי,שנהב לבן,אחר,6,1353,548,70,151,12
1251,85000,ראשון לציון,ניסאן קשקאי QASHQAI VISIA PLUS,2017,1598 ליטר דיזל,82000,2,אוטומטי,אפור מטל,פרטית,5,1835,491,13,54,38
1252,217000,נתניה,טויוטה קאמרי HYBRID SE,2021,2487 ליטר בנזין,29000,1,אוטומטי,אפור,פרטית,6,2417,233,6,98,28
1253,108900,אשדוד,יונדאי איוניק HYBRID PREMIUM FL,2020,1580 ליטר בנזין,111726,1,אוטומטי,לבן,ליסינג,10,1811,284,53,44,4
1254,69000,כפר כנא,סקודה אוקטביה OCTAVIA AMBITION,2017,1395 ליטר בנזין,198000,2,אוטומטי,שנהב לבן,ליסינג,11,1424,584,70,24,18
1256,100900,ראשון לציון,טויוטה קורולה SDN SUN,2019,1598 ליטר בנזין,39487,1,אוטומטי,שנהב לבן,ליסינג,9,1604,244,70,53,38
1262,220000,נתניה,מיצובישי L-200 L200 DESERT,2021,2268 ליטר דיזל,29000,2,אוטומטי,שנהב לבן,פרטית,4,3366,376,70,91,28
1263,78000,חיפה,קיה פיקנטו PICANTO LX,2021,1197 ליטר בנזין,8100,1,אוטומטי,אפור,ליסינג,9,1235,740,6,2,12
1264,99000,רחובות,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,118000,1,אוטומטי,שחור מטלי,ליסינג,12,1604,241,67,60,39
1265,155000,נתניה,סאנגיונג רקסטון REXTON EX,2018,2157 ליטר דיזל,72000,1,אוטומטי,שנהב לבן,ליסינג,8,2563,492,70,87,28
1266,72900,ראשון לציון,קיה פיקנטו PICANTO LX,2021,1248 ליטר בנזין,20000,1,אוטומטי,כסף,פרטית,4,1235,740,46,7,38
1269,94900,ראשון לציון,סקודה אוקטביה OCTAVIA AMBITION,2020,1498 ליטר בנזין,139509,1,אוטומטי,אפור מטל,ליסינג,4,1811,584,13,39,38
1270,138500,קרית אתא,אאודי Q2 Q2 DESIGN,2018,1395 ליטר בנזין,75000,1,אוטומטי,כסף,פרטית,1,2019,23,46,24,36
1273,111000,כרמיאל,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,118000,1,אוטומטי,שנהב לבן,ליסינג,3,1604,241,70,60,20
1274,180000,ירכא,טויוטה RAV4 HYBRID E-VOLVE,2021,2487 ליטר בנזין,30700,1,אוטומטי,אפור כהה מטלי,פרטית,2,2417,193,10,98,16
1275,37000,חיפה,אלפא רומיאו מיטו ALFA MITO MASSIMO,2015,875 ליטר בנזין,74000,2,ידני,אפור,פרטית,4,1424,69,6,145,12
1276,218000,פתח תקווה,טויוטה RAV4 HYBRID E-VOLVE,2022,2487 ליטר בנזין,11000,1,אוטומטי,שנהב לבן,פרטית,5,2417,193,70,98,35
1278,420000,הרצליה,אאודי E-tron ETRON ADV PREMIUM,2020,חשמלי,36000,1,אוטומטי,שנהב לבן,פרטית,10,4731,22,70,152,9
1279,52000,ראשון לציון,רנו קאדג'ר KADJAR ZEN,2017,1197 ליטר בנזין,199000,2,אוטומטי,כסף מטלי,ליסינג,11,1584,759,49,2,38
1280,88900,כפר חסידים א',ניסאן ג'וק JUKE ACENTA,2019,1598 ליטר בנזין,40000,1,אוטומטי,אפור,פרטית,2,1353,470,6,53,17
1281,63900,רמת גן,יונדאי אלנטרה ELANTRA GL,2016,1591 ליטר בנזין,112000,3,אוטומטי,שחור,ליסינג,7,1424,287,65,49,42
1282,80000,חיפה,אאודי A4 A4 EXECUTIVE,2015,1798 ליטר בנזין,79000,2,אוטומטי,שנהב לבן,פרטית,6,1962,15,70,60,12
1283,29900,ראשון לציון,סיטרואן ברלינגו BERLINGO MAXI,2013,1560 ליטר דיזל,295000,2,ידני,שנהב לבן,פרטית,3,1424,574,70,43,38
1284,107900,חדרה,סקודה אוקטביה OCTAVIA AMBITION,2019,1498 ליטר בנזין,80935,1,אוטומטי,לבן,ליסינג,8,1604,584,53,39,10
1286,19900,חיפה,פיג'ו 2008 2008 ACCESS,2014,1199 ליטר בנזין,145000,4,אוטומטי,אפור כהה,ליסינג,3,1205,681,9,4,12
1289,84000,ראשון לציון,יונדאי אקסנט ACCENT INSPIRE,2019,1591 ליטר בנזין,66000,1,אוטומטי,אפור מטל,ליסינג,6,1353,290,13,49,38
1290,142900,עפולה,סקודה קודיאק KODIAQ AMBITION,2018,1968 ליטר דיזל,140000,1,אוטומטי,אפור פלדה,אחר,9,2019,618,15,65,32
1291,97900,רמת השרון,מיצובישי ASX ASX PREMIUM,2018,1998 ליטר בנזין,47400,2,אוטומטי,כסף מטלי,פרטית,3,1604,374,49,82,43
1294,135000,ראשון לציון,מזדה CX-30 CX-30 EXECUTIVE,2020,1998 ליטר בנזין,45000,2,אוטומטי,שנהב לבן,פרטית,5,2130,358,70,82,38
1296,147900,רמת השרון,פיג'ו 3008 3008 PREMIUM,2020,1499 ליטר דיזל,59115,1,אוטומטי,שנהב לבן,פרטית,7,2417,694,70,41,43
1297,153000,ירכא,סובארו XV XV CROSSTREK,2021,1995 ליטר בנזין,20000,1,אוטומטי,שנהב לבן,פרטית,1,2130,501,70,76,16
1298,28000,נתניה,איסוזו D-Max PICK-UP LS,2004,2999 ליטר דיזל,355000,5,אוטומטי,לא ידוע,פרטית,7,1427,66,52,124,28
1299,200000,ירכא,טויוטה RAV4 HYBRID E-MOTION,2020,2487 ליטר בנזין,36000,2,אוטומטי,שנהב לבן,פרטית,6,3366,191,70,98,16
1302,239000,ירושלים,לקסוס RX 300 LUXURY,2019,1998 ליטר בנזין,70000,1,אוטומטי,כסוף מילניום,פרטית,5,3357,329,45,82,15
1303,85000,ירכא,רנו גראנד קופה COUPE INTENSE,2018,1461 ליטר דיזל,125000,2,אוטומטי,אפור כהה מטלי,פרטית,3,1604,747,10,29,16
1305,105000,עיספיא,רנו מגאן MEGANE INTENSE,2020,1461 ליטר דיזל,96000,1,אוטומטי,שחור מטלי,ליסינג,8,1811,750,67,29,31
1306,64000,חיפה,יונדאי I25 I25 INSPIRE,2017,1591 ליטר בנזין,150000,1,אוטומטי,כסף,ליסינג,11,1205,268,46,49,12
1307,68000,חיפה,סקודה אוקטביה OCTAVIA AMBITION,2016,1395 ליטר בנזין,145000,1,אוטומטי,קפה מטאלי,ליסינג,9,1424,584,62,24,12
1308,118000,פתח תקווה,סיאט אטקה ATECA STYLE PLUS,2018,1395 ליטר בנזין,36000,2,אוטומטי,שחור,פרטית,1,1835,539,65,24,35
1311,80900,פתח תקווה,סוזוקי CROSSOVER SX4 CROSSOVER GLX,2017,1373 ליטר בנזין,82600,1,אוטומטי,שנהב לבן,פרטית,8,1604,518,70,21,35
1312,103000,אבן יהודה,מיצובישי אאוטלנדר OUTLANDER INSTYLE,2016,1998 ליטר בנזין,148000,2,אוטומטי,שנהב לבן,ליסינג,6,1693,380,70,82,0
1313,119900,ראשון לציון,מזדה CX-5 CX-5 EXECUTIVE,2018,1998 ליטר בנזין,40500,3,אוטומטי,שחור,ליסינג,12,2019,361,65,82,38
1315,69000,אבן יהודה,קיה פיקנטו PICANTO LX,2019,1248 ליטר בנזין,74000,1,אוטומטי,כסף,ליסינג,1,1102,740,46,7,0
1317,290000,פתח תקווה,ב מ וו X2 XDRIVE 25E M SPORT,2022,1499 ליטר חשמל/בנזין,2000,1,אוטומטי,שנהב לבן,פרטית,1,3366,76,70,42,35
1318,102000,אבן יהודה,קיה סטוניק STONIC LX,2021,998 ליטר בנזין,14000,1,אוטומטי,אפור כהה,פרטית,3,1529,725,9,150,0
1319,29990,חיפה,שברולט קרוז CRUZE LT TURBO,2015,1362 ליטר בנזין,76000,2,אוטומטי,שחור מטלי,ליסינג,5,1424,802,67,18,12
1321,150900,מאיפה שנוח לך בארץ,סקודה קודיאק KODIAQ AMBITION,2018,1395 ליטר בנזין,110662,1,אוטומטי,אפור,אחר,10,2019,618,6,24,22
1322,175000,קרית שמונה,קופרה פורמנטור CUPRA FORMENTOR,2022,1498 ליטר בנזין,13000,1,אוטומטי,שנהב לבן,פרטית,2,2417,710,70,39,37
1323,70000,נתניה,טויוטה יאריס YARIS SKY TSS,2017,1329 ליטר בנזין,69000,2,אוטומטי,שנהב לבן,פרטית,2,1353,219,70,12,28
1324,19500,עראבה,מזדה 3 MAZDA 3 ACTIVE,2011,1598 ליטר בנזין,220000,2,אוטומטי,אפור,פרטית,7,1262,339,6,53,33
1325,54999,פרדס חנה כרכור,טויוטה אוריס HYBRID TS TSS,2018,1798 ליטר בנזין,303000,2,אוטומטי,שנהב לבן,ליסינג,2,1604,206,70,60,34
1326,134900,ראשון לציון,מזדה CX-5 CX-5 EXECUTIVE,2019,1998 ליטר בנזין,89000,2,אוטומטי,שנהב לבן,פרטית,4,2019,361,70,82,38
1327,48000,פתח תקווה,יונדאי I10 I10 SUPREME,2017,1248 ליטר בנזין,152000,2,אוטומטי,שנהב לבן,ליסינג,7,1102,259,70,7,35
1331,72000,אום אל-פחם,טויוטה קורולה COROLLA SUN,2016,1598 ליטר בנזין,105000,1,אוטומטי,כסף מטלי,ליסינג,7,1424,236,49,53,1
1333,107900,אשדוד,טויוטה קורולה HSD SDN SUN,2019,1798 ליטר בנזין,94098,1,אוטומטי,כסף מטלי,ליסינג,9,1604,241,49,60,4
1334,140000,ראשון לציון,קיה נירו PHEV LX,2021,1580 ליטר חשמל/בנזין,35000,2,אוטומטי,כסף,פרטית,11,2130,718,46,45,38
1335,120900,חדרה,קיה ספורטז' SPORTAGE URBAN,2020,1999 ליטר בנזין,67708,1,אוטומטי,לבן,ליסינג,1,2130,735,53,84,10
1336,119900,אשדוד,טויוטה C-HR HYBRID CITY,2019,1798 ליטר בנזין,58624,1,אוטומטי,תכלת מטאלי,ליסינג,8,1604,186,72,60,4
1338,125000,ראשון לציון,טויוטה COROLLA PETROL STYLE,2021,1798 ליטר בנזין,60000,1,אוטומטי,אפור כחול מטלי,פרטית,5,1811,190,11,60,38
1339,430000,ירכא,מרצדס GLE 350D 4MATIC EXCLUSIVE PL,2021,2925 ליטר דיזל,92500,1,אוטומטי,שנהב לבן,פרטית,5,4731,456,70,109,16
1340,110900,רמת השרון,הונדה HR-V HR-V COMFORT,2019,1498 ליטר בנזין,35558,1,אוטומטי,אפור בהיר מטלי,פרטית,3,1604,154,8,39,43
1341,71000,מאיפה שנוח לך בארץ,קיה פיקנטו PICANTO LX,2019,1248 ליטר בנזין,96596,1,אוטומטי,שחור,אחר,1,1102,740,65,7,22
1342,121000,נתניה,יונדאי טוסון TUCSON PANORAMIC,2019,1999 ליטר בנזין,95000,1,אוטומטי,שנהב לבן,ליסינג,5,2019,296,70,84,28
1343,99000,בת ים,קיה נירו NIRO EX,2017,1580 ליטר בנזין,102000,1,אוטומטי,כסף,פרטית,4,1604,714,46,44,7
1345,59000,רמלה,טויוטה וורסו VERSO GLI,2013,1798 ליטר בנזין,212000,2,אוטומטי,שנהב לבן,פרטית,9,1693,212,70,60,41
1346,23499,ראשון לציון,שברולט קרוז CRUZE LT TURBO,2015,1362 ליטר בנזין,90000,2,אוטומטי,כסף מטלי,ליסינג,7,1424,802,49,18,38
1348,112900,ראשון לציון,MG ZS EV NET-UP S,2020,חשמלי,92000,1,אוטומטי,שנהב לבן,פרטית,1,1811,3,70,152,38
1351,99999,חיפה,מזדה CX-5 CX-5 EXECUTIVE,2017,1998 ליטר בנזין,89000,2,אוטומטי,שנהב לבן,פרטית,10,2019,361,70,82,12
