,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,version_num,color_num,engine_num,location_num
51,37000,עפולה,אופל אסטרה ASTRA ENJOY PLUS,2016,1399 ליטר בנזין,160779,2,אוטומטי,אפור מטל,השכרה,4,1424,48,13,28,32
52,95000,באר שבע,ניסאן X TRAIL X-TRAIL ACENTA LE,2017,1598 ליטר דיזל,48000,3,אוטומטי,אפור מטל,פרטית,8,2019,465,13,54,6
53,285000,עיספיא,שברולט קמארו CAMARO 1LT,2021,1998 ליטר בנזין,24000,1,אוטומטי,שנהב לבן,פרטית,5,3366,797,70,82,31
54,71900,ראשון לציון,סוזוקי סוויפט SWIFT GLX,2018,1242 ליטר בנזין,84000,1,אוטומטי,שנהב לבן,פרטית,2,1102,534,70,6,38
55,54900,ראשון לציון,רנו קליאו CLIO EX PACK PLUS,2016,1197 ליטר בנזין,44000,2,אוטומטי,שחור מטלי,פרטית,3,1205,761,67,2,38
56,107900,פתח תקווה,פורד קוגה KUGA TREND X,2020,1498 ליטר בנזין,35745,1,אוטומטי,כסף מטלי,פרטית,11,1835,668,49,39,35
57,60000,חיפה,קיה פיקנטו PICANTO LX,2019,1248 ליטר בנזין,115000,2,אוטומטי,שנהב לבן,פרטית,3,1102,740,70,7,12
60,39000,פתח תקווה,ניסאן קשקאי QASHQAI ACENTA,2011,1997 ליטר בנזין,168000,3,אוטומטי,שחור מטלי,ליסינג,2,1427,483,67,79,35
61,100000,נתניה,סקודה סופרב SUPERB AMBITION,2017,1798 ליטר בנזין,127000,2,אוטומטי,אפור מטל,ליסינג,8,2019,599,13,60,28
64,57000,נתניה,שברולט ספארק SPARK LT,2017,1399 ליטר בנזין,60000,2,אוטומטי,שחור,פרטית,3,1102,791,65,28,28
65,55900,חיפה,דאציה סנדרו SANDERO LAUREATE,2020,898 ליטר בנזין,42000,2,אוטומטי,שנהב לבן,פרטית,7,1235,148,70,146,12
66,57000,חיפה,מיצובישי ספייס סטאר SPACE STAR SUPREME,2021,1193 ליטר בנזין,16000,1,אוטומטי,אפור,ליסינג,3,1235,396,6,1,12
67,71900,ראשון לציון,קיה ספורטז' SPORTAGE EX,2015,1998 ליטר בנזין,131500,1,אוטומטי,שנהב לבן,פרטית,11,1693,730,70,82,38
70,30999,פרדס חנה כרכור,יונדאי I10 I10 PREMIUM,2014,998 ליטר בנזין,195000,2,אוטומטי,תכלת מטאלי,ליסינג,2,985,257,72,150,34
72,199999,קרית שמונה,מיני קופר JCW CHILLI,2019,1998 ליטר בנזין,39000,2,אוטומטי,כסוף בהיר,פרטית,1,2563,370,41,82,37
73,199500,חיפה,סובארו פורסטר FORESTER SPORT,2022,2498 ליטר בנזין,4000,1,אוטומטי,שחור,פרטית,4,2417,514,65,104,12
75,43000,חולון,רנו קליאו CLIO EX PACK PLUS,2017,1461 ליטר דיזל,93000,4,אוטומטי,אפור כהה מטלי,פרטית,11,1205,761,10,29,11
77,82000,קרית שמונה,סיאט איביזה IBIZA REFERENCE,2019,999 ליטר בנזין,60000,1,אוטומטי,שנהב לבן,פרטית,8,1102,544,70,151,37
