,color
371,שנהב לבן
372,שנהב לבן
373,שנהב לבן
374,כסף
375,לבן
376,אדום
377,שחור
378,שנהב לבן
379,לבן
380,שנהב לבן
381,שנהב לבן
382,שנהב לבן
383,ירוק
384,כסף מטלי
385,שחור
386,שנהב לבן
387,שנהב לבן
388,שנהב לבן
389,שנהב לבן
390,אפור מטל
391,שנהב לבן
392,אפור כהה
393,שנהב לבן
394,כסף מטלי
395,שחור
396,שחור
397,שנהב לבן
398,שנהב לבן
399,כסף
400,אדום מטאלי
401,שחור מטלי
402,שחור
403,אדום מטל
404,שחור
405,שנהב לבן
406,שנהב לבן
407,שנהב לבן
408,שנהב לבן
409,שנהב לבן
410,כחול מטל
411,שנהב לבן
412,שנהב לבן
413,לבן
414,שנהב לבן
415,שנהב לבן
416,אפור
417,ירקרק בהיר
418,כסף
419,כסף מטלי
420,אפור מטאלי
421,שנהב לבן
422,לבן
423,שנהב לבן
424,שנהב לבן
425,זהב מטאלי
426,אדום מטל
427,אפור פלדה
428,אפור
429,קפה מטאלי
430,לבן
431,שחור
432,שנהב לבן
433,שן פיל
434,אפור
435,כסף מטלי
436,שנהב לבן
437,שנהב לבן
438,לבן
439,אפור
440,כסף מטלי
441,שנהב לבן
442,שנהב לבן
443,שחור מטלי
444,אפור
445,שחור מטלי
446,אפור מטל
447,שנהב לבן
448,אפור מטל
449,כסוף כהה
450,אפור
451,תכלת מטאלי
452,אדום
453,אפור מטל
454,אפור מטל
455,שנהב לבן
456,שנהב לבן
457,קפה מטאלי
458,אפור מטאלי
459,אפור
460,כסף
461,לבן
462,כסף תכלת מטלי
463,שנהב לבן
464,שנהב לבן
465,שנהב לבן
466,כסוף כהה מטלי
467,כסף
468,חום
469,אדום מטל
470,כחול
471,אפור
472,כסף
473,שחור
474,לבן
475,כחול פחם מטלי
476,שנהב לבן
477,לבן
478,שנהב לבן
479,שחור
480,שנהב לבן
481,לבן
482,שנהב לבן
483,שחור מטלי
484,כסף מטלי
485,שחור
486,שנהב לבן
487,שנהב לבן
488,שחור
489,אפור מטל
490,שחור
491,כסף מטלי
492,שנהב לבן
493,כסוף כהה מטלי
494,כסף
495,שנהב לבן
496,אפור
497,שנהב לבן
498,שנהב לבן
499,שנהב לבן
500,שחור
501,שחור מטלי
502,שחור מטלי
503,כסוף
504,שנהב לבן
505,שחור
506,אדום מטל
507,שחור
508,שנהב לבן
509,אפור כהה
510,אפור מטל
511,כסף
512,כחול
513,שחור מטלי
514,שחור
515,אפור כהה מטלי
516,שנהב לבן
517,שנהב לבן
518,אדום מטל
519,כסוף
520,שחור
521,לבן
522,שנהב לבן
523,שחור
524,שנהב לבן
525,כסף מטלי
526,שחור
527,שנהב לבן
528,לבן
529,אפור כהה
530,שנהב לבן
531,אפור פלדה
532,שנהב לבן
533,שנהב לבן
534,שחור
535,אפור
536,כסף מטלי
537,כסף
538,כסוף כהה מטלי
539,כסף מטלי
540,כסף
541,כסף מטלי
542,אפור
543,זהב
544,כחול
545,שנהב לבן
546,שנהב לבן
547,שנהב לבן
548,סגול כהה
549,לבן
550,שנהב לבן
551,שנהב לבן
552,שחור
553,לבן
554,שחור מטלי
555,שחור
556,שנהב לבן
557,שנהב לבן
558,אפור
559,שחור
560,אפור
561,לבן
562,שנהב לבן
563,שנהב לבן
564,שנהב לבן
565,שחור
566,אפור
567,כסוף
568,שחור מטלי
569,כסף מטלי
570,שנהב לבן
571,אפור מטל
572,שנהב לבן
573,קפה מטאלי
574,כתום
575,שחור
576,אפור
577,אפור כהה
578,כסף
579,שחור
580,שחור פנינה
581,כסוף כהה
582,כתום
583,לבן
584,שנהב לבן
585,שנהב לבן
586,אפור
587,בז
588,שנהב לבן
589,שנהב לבן
590,אפור
591,שחור
592,ברונזה
593,לבן
594,ירקרק מטלי
595,כסף מטלי
596,שנהב לבן
597,שחור
598,שחור
599,שחור
600,שנהב לבן
601,שנהב לבן
602,אפור מטל
603,אפור
604,כסף מטלי
605,צהוב מטאלי
606,שחור מטלי
607,שנהב לבן
608,אפור מטל
609,שחור
610,כסף מטלי
611,כסף
612,כסף מטלי
613,לבן
614,שנהב לבן
615,שנהב לבן
616,אפור
617,שנהב לבן
618,שחור מטלי
619,אפור בהיר
620,שחור
621,כתום
622,אפור מטאלי
623,כסף מטלי
624,שנהב לבן
625,שחור
626,שנהב לבן
627,שחור
628,אפור בהיר מטלי
629,שנהב לבן
630,כסף
631,שחור מטלי
632,שנהב לבן
633,כסף
634,לבן
635,אפור
636,שחור
637,כסף
638,לבן
639,אפור פלדה
640,כחול מטל
641,שנהב לבן
642,שנהב לבן
643,כסוף כהה מטלי
644,לבן
645,כחול
646,כסף
647,אפור מטל
648,שנהב לבן
649,שנהב לבן
650,תכלת מטאלי
651,שנהב לבן
652,אפור
653,אפור מטל
654,שנהב לבן
655,שנהב לבן
656,שנהב לבן
657,שנהב לבן
658,שנהב לבן
659,שנהב לבן
660,אפור כהה מטלי
661,אפור
662,שנהב לבן
663,שנהב לבן
664,אפור מטאלי
665,שנהב לבן
666,שנהב לבן
667,אפור כהה
668,כסף מטלי
669,שנהב לבן
670,שנהב לבן
671,כסף
672,שנהב לבן
673,שנהב לבן
674,שנהב לבן
675,בז
676,אפור מטל
677,לבן
678,כסף מטלי
679,כחול
680,שנהב לבן
681,כסף
682,שנהב לבן
683,אפור כהה
684,שנהב לבן
685,שנהב לבן
686,שנהב לבן
687,שחור
688,אפור מטאלי
689,שנהב לבן
690,אפור כהה
691,כסף
692,שחור
693,אדום
694,אפור כהה
695,כסף מטלי
696,כחול
697,שנהב לבן
698,שחור
699,שנהב לבן
700,אפור כהה מטלי
701,שנהב לבן
702,כסף כחלחל מטלי
703,שנהב לבן
704,אפור
705,שחור
706,אפור כהה מטלי
707,אדום מטל
708,כסוף בהיר
709,אפור
710,אפור
711,שנהב לבן
712,שנהב לבן
713,כחול מטל
714,שנהב לבן
715,אפור
716,שנהב לבן
717,אפור בהיר מטלי
718,אפור
719,שנהב לבן
720,שנהב לבן
721,שחור מטלי
722,שנהב לבן
723,שנהב לבן
724,שנהב לבן
725,שנהב לבן
726,שחור מטלי
727,אפור
728,אפור
729,כסף מטלי
730,כחול מטל
731,לבן
732,שחור
733,אפור מטל
734,אפור כהה מטלי
735,שנהב לבן
736,שנהב לבן
737,לבן
738,כסף
739,אפור כהה
740,שחור פנינה
741,שנהב לבן
742,שחור מטלי
743,שנהב לבן
744,כסף
745,אדום
746,שחור
747,שנהב לבן
748,כחול מטל
749,כחול מטל
750,כסף
751,לבן
752,שחור
753,שנהב לבן
754,אפור
755,שנהב לבן
756,אפור
757,שנהב לבן
758,שנהב לבן
759,לבן
760,כסף
761,כסף מטלי
762,אפור בהיר מטלי
763,שחור
764,אפור
765,כסף מטלי
766,שחור
767,שחור
768,קפה מטאלי
769,שנהב לבן
770,שחור
771,שנהב לבן
772,אפור
773,שנהב לבן
774,שחור
775,כסוף כהה
776,אפור
777,שנהב לבן
778,שנהב לבן
779,שנהב לבן
780,שנהב לבן
781,שנהב לבן
782,ברונזה
783,שנהב לבן
784,אדום
785,שנהב לבן
786,כסף מטאלי
787,אפור כהה מטלי
788,שנהב לבן
789,שנהב לבן
790,שחור
791,לבן
792,שנהב לבן
793,שחור מטלי
794,שחור מטלי
795,כסף
796,כסוף כהה
797,שנהב לבן
798,שנהב לבן
799,אפור
800,שן פיל
801,לבן
802,שנהב לבן
803,שנהב לבן
804,כסף מטלי
805,שנהב לבן
806,שנהב לבן
807,אפור מטל
808,אפור מטל
809,שחור מטלי
810,אפור
811,כסף
812,כסף
813,קרם
814,אפור
815,כסף מטלי
816,אפור
817,כסף
818,כסף מטלי
819,שנהב לבן
820,שנהב לבן
821,כסף מטלי
822,שנהב לבן
823,שנהב לבן
824,שחור
825,אפור מטל
826,שנהב לבן
827,אפור כהה
828,שנהב לבן
829,שנהב לבן
830,לבן
831,כסף מטלי
832,כסף
833,שנהב לבן
834,שחור מטלי
835,כסוף
836,כסף מטלי
837,כסוף כהה
838,לבן
839,אפור
840,צהוב מטאלי
841,שנהב לבן
842,אדום
843,כסף מטלי
844,כסף
845,שחור
846,אפור
847,שחור מטלי
848,שנהב לבן
849,שחור
850,שנהב לבן
851,שנהב לבן
852,שנהב לבן
853,שנהב לבן
854,אפור מטל
855,שנהב לבן
856,לבן
857,שחור
858,שנהב לבן
859,שנהב לבן
860,שנהב לבן
861,כחול כהה
862,שנהב לבן
863,כסף
864,כסף
865,שנהב לבן
866,שנהב לבן
867,שחור
868,לבן
869,שחור
870,קרם
871,אפור
872,כסף
873,שנהב לבן
874,שנהב לבן
875,כחול מטל
876,שנהב לבן
877,שנהב לבן
878,כסוף מטאלי
879,שנהב לבן
880,שנהב לבן
881,לבן
882,שחור מטלי
883,שחור
884,שחור
885,שחור מטלי
886,שנהב לבן
887,שנהב לבן
888,שנהב לבן
889,כסף
890,אפור כהה
891,תכלת
892,שחור
893,שחור
894,כסף מטלי
895,כסף
896,בורדו מטל
897,שחור
898,אפור מטל
899,שנהב לבן
900,בז
901,שחור
902,שנהב לבן
903,שנהב לבן
